Objects in View; FPS
121;0.000000
121;0.000000
118;0.000000
117;0.000000
117;0.000000
117;0.000000
116;0.000000
116;0.000000
115;0.000000
115;0.000000
114;0.000000
115;0.000000
115;0.000000
115;0.000000
115;0.000000
115;0.000000
114;0.000000
114;0.000000
113;0.000000
114;0.000000
113;0.000000
114;0.000000
114;0.000000
114;0.000000
113;0.000000
113;0.000000
113;0.000000
113;0.000000
113;0.000000
112;0.000000
113;0.000000
113;0.000000
113;0.000000
113;0.000000
113;0.000000
112;0.000000
113;0.000000
113;0.000000
113;0.000000
112;0.000000
112;0.000000
112;0.000000
113;0.000000
112;0.000000
112;0.000000
112;0.000000
112;0.000000
112;0.000000
112;0.000000
112;0.000000
112;0.000000
112;0.000000
113;0.000000
113;0.000000
114;0.000000
114;0.000000
114;0.000000
114;0.000000
115;0.000000
116;0.000000
116;0.000000
117;0.000000
119;0.000000
119;0.000000
119;0.000000
119;0.000000
119;0.000000
117;0.000000
117;0.000000
117;0.000000
116;0.000000
116;0.000000
116;0.000000
115;0.000000
115;0.000000
115;0.000000
115;0.000000
115;0.000000
115;0.000000
115;0.000000
115;0.000000
114;0.000000
114;0.000000
114;0.000000
114;0.000000
114;0.000000
115;0.000000
115;0.000000
115;0.000000
116;0.000000
116;0.000000
116;0.000000
115;0.000000
116;0.000000
115;0.000000
115;0.000000
115;0.000000
115;0.000000
115;0.000000
115;0.000000
115;0.000000
116;0.000000
116;0.000000
116;0.000000
116;0.000000
116;0.000000
117;0.000000
117;0.000000
118;0.000000
118;0.000000
118;0.000000
117;0.000000
118;0.000000
118;0.000000
118;0.000000
118;0.000000
117;0.000000
117;0.000000
118;0.000000
119;0.000000
119;0.000000
119;0.000000
120;0.000000
120;0.000000
121;0.000000
121;0.000000
121;0.000000
121;0.000000
121;0.000000
121;0.000000
121;0.000000
122;0.000000
122;0.000000
122;0.000000
122;0.000000
122;0.000000
122;0.000000
122;0.000000
122;0.000000
121;0.000000
123;0.000000
123;0.000000
123;0.000000
123;0.000000
123;0.000000
123;0.000000
123;145.330002
114;145.330002
104;254.505020
104;264.903870
115;262.794067
124;251.940140
120;248.632828
112;251.091309
107;258.177246
115;257.043488
114;252.060760
109;242.357437
112;249.647873
120;259.300476
123;256.502228
114;246.333557
105;246.492126
103;252.295715
118;259.845215
124;249.643661
120;248.705185
109;245.770767
105;258.393463
